id,title,route,component,selector,baseline_url,candidate_url,key_deltas,evidence_baseline,evidence_candidate
"1","[Admin Theme] Appearance - H2 Heading style regression vs Drupal 11 Gin","Appearance","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","fontSize: 35.2% | lineHeight: 35.2% | paddingX: -100.0% | width: 1539.5% | height: 391.3% | count: -2 (-25.0%)","baseline/appearance__h2.png","candidate/appearance__h2.png"
"2","[Admin Theme] Appearance - Button style regression vs Drupal 11 Gin","Appearance","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","baseline/appearance__button.png","candidate/appearance__button.png"
"3","[Admin Theme] Appearance - Details Summary style regression vs Drupal 11 Gin","Appearance","Details Summary","details > summary","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","paddingY: -20.0% | paddingX: -13.3% | height: -14.3%","baseline/appearance__details-summary.png","candidate/appearance__details-summary.png"
"4","[Admin Theme] Appearance - Form Label style regression vs Drupal 11 Gin","Appearance","Form Label","label","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","paddingX: -100.0%","baseline/appearance__label.png","candidate/appearance__label.png"
"5","[Admin Theme] Configuration - H2 Heading style regression vs Drupal 11 Gin","Configuration","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/config","http://drupal-git.ddev.site:8080/admin/config","fontSize: 29.2% | lineHeight: 29.2% | paddingX: -100.0% | width: 356.2% | height: 811.9% | count: -3 (-50.0%)","baseline/config__h2.png","candidate/config__h2.png"
"6","[Admin Theme] Configuration - Button style regression vs Drupal 11 Gin","Configuration","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/config","http://drupal-git.ddev.site:8080/admin/config","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","baseline/config__button.png","candidate/config__button.png"
"7","[Admin Theme] Content - H2 Heading style regression vs Drupal 11 Gin","Content","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","fontSize: 42.1% | lineHeight: 42.1% | paddingX: -100.0% | width: -86.3% | height: 16.7% | count: -4 (-57.1%)","baseline/content__h2.png","candidate/content__h2.png"
"8","[Admin Theme] Content - Text Input style regression vs Drupal 11 Gin","Content","Text Input","input[type=""text""], input.form-text","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","paddingY: 57.1% | paddingX: 25.0% | width: -13.4% | height: 20.0%","baseline/content__input-text.png","candidate/content__input-text.png"
"9","[Admin Theme] Content - Button style regression vs Drupal 11 Gin","Content","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","baseline/content__button.png","candidate/content__button.png"
"10","[Admin Theme] Content - Form Item Wrapper style regression vs Drupal 11 Gin","Content","Form Item Wrapper",".form-item","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","width: -14.4% | height: 12.1%","baseline/content__form-item.png","candidate/content__form-item.png"
"11","[Admin Theme] Content - Table Header Cell style regression vs Drupal 11 Gin","Content","Table Header Cell","table thead th","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","fontSize: 14.3% | paddingY: -71.4% | width: 14.0% | height: -12.3%","baseline/content__table-header.png","candidate/content__table-header.png"
"12","[Admin Theme] Content - Table Body Cell style regression vs Drupal 11 Gin","Content","Table Body Cell","table tbody td","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","paddingY: -50.0% | height: 11.3%","baseline/content__table-cell.png","candidate/content__table-cell.png"
"13","[Admin Theme] Structure - H2 Heading style regression vs Drupal 11 Gin","Structure","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/structure","http://drupal-git.ddev.site:8080/admin/structure","fontSize: 51.7% | lineHeight: 51.7% | paddingX: -100.0% | width: -88.0% | height: 20.0% | count: -4 (-66.7%)","baseline/structure__h2.png","candidate/structure__h2.png"
"14","[Admin Theme] Structure - Button style regression vs Drupal 11 Gin","Structure","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/structure","http://drupal-git.ddev.site:8080/admin/structure","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","baseline/structure__button.png","candidate/structure__button.png"
"15","[Admin Theme] People - H2 Heading style regression vs Drupal 11 Gin","People","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/people","http://drupal-git.ddev.site:8080/admin/people","fontSize: 46.0% | lineHeight: 46.0% | paddingX: -100.0% | width: -95.1% | height: -70.1% | count: -5 (-62.5%)","baseline/people__h2.png","candidate/people__h2.png"
"16","[Admin Theme] People - Text Input style regression vs Drupal 11 Gin","People","Text Input","input[type=""text""], input.form-text","http://drupal-11.3.10.ddev.site/admin/people","http://drupal-git.ddev.site:8080/admin/people","paddingY: 57.1% | paddingX: 25.0% | width: -13.4% | height: 20.0%","baseline/people__input-text.png","candidate/people__input-text.png"
"17","[Admin Theme] People - Button style regression vs Drupal 11 Gin","People","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/people","http://drupal-git.ddev.site:8080/admin/people","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","baseline/people__button.png","candidate/people__button.png"
"18","[Admin Theme] People - Form Item Wrapper style regression vs Drupal 11 Gin","People","Form Item Wrapper",".form-item","http://drupal-11.3.10.ddev.site/admin/people","http://drupal-git.ddev.site:8080/admin/people","height: 11.0%","baseline/people__form-item.png","candidate/people__form-item.png"
"19","[Admin Theme] People - Table Header Cell style regression vs Drupal 11 Gin","People","Table Header Cell","table thead th","http://drupal-11.3.10.ddev.site/admin/people","http://drupal-git.ddev.site:8080/admin/people","fontSize: 14.3% | paddingY: -70.0% | height: -14.3%","baseline/people__table-header.png","candidate/people__table-header.png"
"20","[Admin Theme] People - Table Body Cell style regression vs Drupal 11 Gin","People","Table Body Cell","table tbody td","http://drupal-11.3.10.ddev.site/admin/people","http://drupal-git.ddev.site:8080/admin/people","paddingY: -50.0%","baseline/people__table-cell.png","candidate/people__table-cell.png"
"21","[Admin Theme] People - Details Summary style regression vs Drupal 11 Gin","People","Details Summary","details > summary","http://drupal-11.3.10.ddev.site/admin/people","http://drupal-git.ddev.site:8080/admin/people","fontSize: -100.0% | lineHeight: -100.0% | paddingY: -100.0% | paddingX: -100.0% | width: -100.0% | height: -100.0% | count: -1 (-100.0%)","baseline/people__details-summary.png","candidate/people__details-summary.png"
