id,title,route,color_mode,component,selector,baseline_url,candidate_url,key_deltas,likely_css_files,baseline_css_sources,candidate_css_sources,suggested_patch_confidence,suggested_css_selector,suggested_declarations,evidence_baseline,evidence_candidate
"1","[Admin Theme][light] Appearance - H2 Heading style regression vs Drupal 11 Gin","Appearance","light","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","fontSize: 35.2% | lineHeight: 35.2% | paddingX: -100.0% | width: 1557.0% | height: 391.3% | count: -2 (-25.0%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_kzkQdKpLVP5kQTdMQKlDgAG6ylA7lp5Ft7mdMP5MxfE.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","","","","baseline/appearance__light__h2.png","candidate/appearance__light__h2.png"
"2","[Admin Theme][light] Appearance - Button style regression vs Drupal 11 Gin","Appearance","light","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_kzkQdKpLVP5kQTdMQKlDgAG6ylA7lp5Ft7mdMP5MxfE.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","medium","button, input, optgroup, select, textarea","font-size: 13.3px; /* current ~14px */ | padding-block: 12.8px; /* current ~20px */ | padding-inline: 16.6px; /* current ~24.5px */","baseline/appearance__light__button.png","candidate/appearance__light__button.png"
"3","[Admin Theme][light] Appearance - Details Summary style regression vs Drupal 11 Gin","Appearance","light","Details Summary","details > summary","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","paddingY: -20.0% | paddingX: -13.3% | height: -14.3%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_kzkQdKpLVP5kQTdMQKlDgAG6ylA7lp5Ft7mdMP5MxfE.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","medium","summary","padding-block: 40px; /* current ~32px */ | padding-inline: 60px; /* current ~52px */ | min-height: 56px; /* current ~48px */","baseline/appearance__light__details-summary.png","candidate/appearance__light__details-summary.png"
"4","[Admin Theme][light] Appearance - Form Label style regression vs Drupal 11 Gin","Appearance","light","Form Label","label","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","paddingX: -100.0%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","","","","baseline/appearance__light__label.png","candidate/appearance__light__label.png"
"5","[Admin Theme][dark] Appearance - H2 Heading style regression vs Drupal 11 Gin","Appearance","dark","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","fontSize: 35.2% | lineHeight: 35.2% | paddingX: -100.0% | width: 1557.0% | height: 391.3% | count: -2 (-25.0%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_kzkQdKpLVP5kQTdMQKlDgAG6ylA7lp5Ft7mdMP5MxfE.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","","","","baseline/appearance__dark__h2.png","candidate/appearance__dark__h2.png"
"6","[Admin Theme][dark] Appearance - Button style regression vs Drupal 11 Gin","Appearance","dark","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_kzkQdKpLVP5kQTdMQKlDgAG6ylA7lp5Ft7mdMP5MxfE.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","medium","button, input, optgroup, select, textarea","font-size: 13.3px; /* current ~14px */ | padding-block: 12.8px; /* current ~20px */ | padding-inline: 16.6px; /* current ~24.5px */","baseline/appearance__dark__button.png","candidate/appearance__dark__button.png"
"7","[Admin Theme][dark] Appearance - Details Summary style regression vs Drupal 11 Gin","Appearance","dark","Details Summary","details > summary","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","paddingY: -20.0% | paddingX: -13.3% | height: -14.3%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_kzkQdKpLVP5kQTdMQKlDgAG6ylA7lp5Ft7mdMP5MxfE.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_Jqmjn5cfMRdz66qR0MTQFuJB7zjvTCg4pzfGmBy-Gz4.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","medium","summary","padding-block: 40px; /* current ~32px */ | padding-inline: 60px; /* current ~52px */ | min-height: 56px; /* current ~48px */","baseline/appearance__dark__details-summary.png","candidate/appearance__dark__details-summary.png"
"8","[Admin Theme][dark] Appearance - Form Label style regression vs Drupal 11 Gin","Appearance","dark","Form Label","label","http://drupal-11.3.10.ddev.site/admin/appearance","http://drupal-git.ddev.site:8080/admin/appearance","paddingX: -100.0%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","","","","baseline/appearance__dark__label.png","candidate/appearance__dark__label.png"
"9","[Admin Theme][light] Configuration - H2 Heading style regression vs Drupal 11 Gin","Configuration","light","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/config","http://drupal-git.ddev.site:8080/admin/config","fontSize: 51.7% | lineHeight: 51.7% | paddingX: -100.0% | width: -88.0% | height: 20.0% | count: -4 (-66.7%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_KLhKWkd-10fItBI0yB5zU1NVxtsUcnqp3mnSsic0sXw.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_ZSWPcqw2uJ8TwO2JSDqVaNnG8j1lsv-5GNaHe27pT6c.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_KLhKWkd-10fItBI0yB5zU1NVxtsUcnqp3mnSsic0sXw.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","","","","baseline/config__light__h2.png","candidate/config__light__h2.png"
"10","[Admin Theme][light] Configuration - Button style regression vs Drupal 11 Gin","Configuration","light","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/config","http://drupal-git.ddev.site:8080/admin/config","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_KLhKWkd-10fItBI0yB5zU1NVxtsUcnqp3mnSsic0sXw.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_ZSWPcqw2uJ8TwO2JSDqVaNnG8j1lsv-5GNaHe27pT6c.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_KLhKWkd-10fItBI0yB5zU1NVxtsUcnqp3mnSsic0sXw.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","medium","button, input, optgroup, select, textarea","font-size: 13.3px; /* current ~14px */ | padding-block: 12.8px; /* current ~20px */ | padding-inline: 16.6px; /* current ~24.5px */","baseline/config__light__button.png","candidate/config__light__button.png"
