section,route,viewport,change_type,severity,diff_path,actual_path,expected_path,run_dir
Appearance,appearance/appearance/list,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-narrow-dark/appearance-list-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-narrow-dark/appearance-list-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-narrow-dark/appearance-list-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Appearance,appearance/appearance/list,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Appearance,appearance/appearance/list,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-wide-dark/appearance-list-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-wide-dark/appearance-list-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-wide-dark/appearance-list-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Appearance,appearance/appearance/list,wide,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-wide/appearance-list-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-wide/appearance-list-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-appearance-appearance-list-default-state-wide/appearance-list-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/media/file/system,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-narrow-dark/config-media-file-system-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-narrow-dark/config-media-file-system-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-narrow-dark/config-media-file-system-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/media/file/system,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-narrow/config-media-file-system-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-narrow/config-media-file-system-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-narrow/config-media-file-system-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/media/file/system,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-wide-dark/config-media-file-system-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-wide-dark/config-media-file-system-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-wide-dark/config-media-file-system-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/media/file/system,wide,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-wide/config-media-file-system-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-wide/config-media-file-system-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-media-file-system-default-state-wide/config-media-file-system-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/overview,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-narrow-dark/config-overview-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-narrow-dark/config-overview-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-narrow-dark/config-overview-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/overview,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-narrow/config-overview-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-narrow/config-overview-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-narrow/config-overview-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/overview,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-wide-dark/config-overview-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-wide-dark/config-overview-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-wide-dark/config-overview-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/overview,wide,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-wide/config-overview-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-wide/config-overview-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-overview-default-state-wide/config-overview-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/performance,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-narrow-dark/config-performance-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-narrow-dark/config-performance-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-narrow-dark/config-performance-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/performance,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-narrow/config-performance-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-narrow/config-performance-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-narrow/config-performance-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/performance,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-wide-dark/config-performance-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-wide-dark/config-performance-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-wide-dark/config-performance-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/performance,wide,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-wide/config-performance-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-wide/config-performance-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-performance-default-state-wide/config-performance-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/site/info,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-narrow-dark/config-site-info-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-narrow-dark/config-site-info-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-narrow-dark/config-site-info-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/site/info,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/site/info,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-wide-dark/config-site-info-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-wide-dark/config-site-info-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-wide-dark/config-site-info-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/site/info,wide,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-wide/config-site-info-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-wide/config-site-info-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-site-info-default-state-wide/config-site-info-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/text/formats/basic/html,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow-dark/config-text-formats-basic-html-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow-dark/config-text-formats-basic-html-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow-dark/config-text-formats-basic-html-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/text/formats/basic/html,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow/config-text-formats-basic-html-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow/config-text-formats-basic-html-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow/config-text-formats-basic-html-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/text/formats/basic/html,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-wide-dark/config-text-formats-basic-html-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-wide-dark/config-text-formats-basic-html-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-wide-dark/config-text-formats-basic-html-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/text/formats/basic/html,wide,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-wide/config-text-formats-basic-html-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-wide/config-text-formats-basic-html-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-basic-html-default-state-wide/config-text-formats-basic-html-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/text/formats,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-narrow-dark/config-text-formats-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-narrow-dark/config-text-formats-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-narrow-dark/config-text-formats-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/text/formats,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/text/formats,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-wide-dark/config-text-formats-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-wide-dark/config-text-formats-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-wide-dark/config-text-formats-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Configuration,config/config/text/formats,wide,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-wide/config-text-formats-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-wide/config-text-formats-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-config-config-text-formats-default-state-wide/config-text-formats-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
Content,content/content/overview,unknown,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-content-content-overview-default-state-narrow-dark/content-overview-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-content-content-overview-default-state-narrow-dark/content-overview-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-080909/test-results/vrt-content-content-overview-default-state-narrow-dark/content-overview-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-080909
